,p_stress_or_crisis,p_crisis,signal_color,cpi_level,cpi_alert
2011-06-30,0.927350146836129,0.01928848285252875,YELLOW,-1.2247121801712424,False
2011-07-31,0.999999988917646,0.07070664377532998,YELLOW,-0.3881405739897247,False
2011-08-31,0.9999997115595792,0.06990076149300561,YELLOW,-0.38395916691798004,False
2011-09-30,0.9999998496617796,0.09267792835940712,YELLOW,-0.39619260858186434,False
2011-10-31,0.9863305753472797,0.019669927750638652,YELLOW,-1.1072513937051582,False
2011-11-30,0.9855715144411975,0.004629902545970654,YELLOW,-1.1398863162108865,False
2011-12-31,0.984726264054049,0.0010858765916167115,YELLOW,-1.1558764480927763,False
2012-01-31,0.9989340021752566,0.002479842372100985,YELLOW,-0.5486362621478651,False
2012-02-29,0.9989136218381954,0.0012994864308916592,YELLOW,-0.5101704558242091,False
2012-03-31,0.9987320461386103,0.0005753053627419943,YELLOW,-0.5701224643278626,False
2012-04-30,0.9987526733873061,0.0010607360245482615,YELLOW,-0.49561465980668784,False
2012-05-31,0.9972599392379843,0.00022102021593880687,YELLOW,-0.6711725670383514,False
2012-06-30,0.9999999427885414,0.0008297163618967843,YELLOW,-0.09398659446400144,False
2012-07-31,0.9999999754721902,0.0004173743576120593,YELLOW,0.035191520163366116,False
2012-08-31,0.99999999933772,0.0007019137874845293,YELLOW,0.2620270783156659,False
2012-09-30,0.9999999930399255,0.0004673841393821414,YELLOW,0.21124158270172025,False
2012-10-31,0.9999999979155639,0.001292830142488854,YELLOW,0.34858825199807936,False
2012-11-30,0.9999996212649619,0.002088329063403928,YELLOW,0.19608743084883562,False
2012-12-31,0.999999662345974,0.006320753782015219,YELLOW,0.15559482639561384,False
2013-01-31,0.6789909983805869,0.002094365006961587,YELLOW,-0.3906239275423944,False
2013-02-28,0.6794512816507035,0.00045710321287219713,YELLOW,-0.4941163459670764,False
2013-03-31,0.6821476480557961,6.322261473835635e-06,YELLOW,-0.5037154205086635,False
2013-04-30,0.001266023699468981,9.9710197812611e-07,GREEN,-0.8661612010596542,False
2013-05-31,0.0011202359342524393,3.32435254864012e-07,GREEN,-0.7917371765120791,False
2013-06-30,0.0005124524083040805,1.2162124233971e-07,GREEN,-0.8048047460367161,False
2013-07-31,0.0005177223157768199,1.9677282061059815e-07,GREEN,-0.6573091379554886,False
2013-08-31,0.00027298021522747845,1.4519275614147177e-07,GREEN,-0.7199244363043913,False
2013-09-30,0.0002353035030754802,8.950776123418162e-08,GREEN,-0.7328251679356212,False
2013-10-31,0.00030522827807512564,5.169382886619286e-07,GREEN,-0.44408102333118227,False
2013-11-30,0.00025115543664673405,1.9769834336288834e-07,GREEN,-0.5242398942907252,False
2013-12-31,0.0002543784502662002,3.961024302972258e-08,GREEN,-0.540655054625576,False
2014-01-31,1.6952933245247363e-05,2.4330544697817898e-08,GREEN,-0.690927801638986,False
2014-02-28,1.1285230388205254e-05,1.8425538341165552e-08,GREEN,-0.7017645553356406,False
2014-03-31,9.895352893105172e-06,2.0205329082630592e-08,GREEN,-0.7089597526147079,False
2014-04-30,1.905046755936624e-05,8.028554128547636e-08,GREEN,-0.5803090572219634,False
2014-05-31,2.6962449434327933e-05,1.2807502796487162e-07,GREEN,-0.588054644422014,False
2014-06-30,4.832482833629279e-05,3.734372780640472e-08,GREEN,-0.5912638688542816,False
2014-07-31,2.684443939274923e-06,1.8777332912970025e-08,GREEN,-0.7548622621914195,False
2014-08-31,1.8320824710669373e-06,6.5304769279297635e-09,GREEN,-0.7621737379138445,False
2014-09-30,1.2647564708324678e-06,6.570893646547629e-09,GREEN,-0.7675196608896172,False
2014-10-31,4.125937090418947e-06,2.3275467990549655e-08,GREEN,-0.6399593372712052,False
2014-11-30,5.192956523541979e-06,4.027453464292464e-08,GREEN,-0.6652374126173471,False
2014-12-31,9.282587320557773e-06,6.187075660342909e-08,GREEN,-0.6751698677467491,False
2015-01-31,3.080734062218614e-05,2.5088666066399156e-07,GREEN,-0.5798244952285821,False
2015-02-28,5.396322327488534e-05,4.7062246787965046e-07,GREEN,-0.6084789874623567,False
2015-03-31,0.00012112041872634873,8.25394183097805e-07,GREEN,-0.6091810343867539,False
2015-04-30,0.0008156706454735543,7.1779247866303215e-06,GREEN,-0.395098801454765,False
2015-05-31,0.0008695893505282431,3.704992755724975e-06,GREEN,-0.5159006995260064,False
2015-06-30,0.0011541300670633006,6.7168442020845295e-06,GREEN,-0.5170798760794184,False
2015-07-31,0.0024627206918648287,4.5715682813322314e-05,GREEN,-0.4339483552811646,False
2015-08-31,0.002391789368361991,2.8824838354866875e-05,GREEN,-0.6780596301372671,False
2015-09-30,0.0030145570522786343,9.446150607462503e-06,GREEN,-0.6736336587795819,False
2015-10-31,0.006081921644452048,1.8225448317664814e-05,GREEN,-0.5630061529323271,False
2015-11-30,0.02182310731043202,0.00012565302759868423,GREEN,-0.3337318580227252,False
2015-12-31,0.024036881287217354,0.0001808298820846636,GREEN,-0.3328134801310345,False
2016-01-31,0.025671482487032535,0.00027212383527828185,GREEN,-0.5210786051140426,False
2016-02-29,0.03603182703606849,0.001112704065218817,GREEN,-0.4642053309096728,False
2016-03-31,0.05950254508437436,0.008497759353065616,GREEN,-0.4598110712873134,False
