,cac_beta,cac_r2,cac_stderr,cac_zscore
2013-03-31,0.14066086825892654,0.07850422060521145,0.08264831569315484,0.6271982622079019
2013-04-30,0.14104580388786048,0.07891639464851141,0.08263929813767046,0.6284537384383024
2013-05-31,0.12775573763902776,0.08067734732843002,0.0739603795159919,0.5851078878033082
2013-06-30,0.12444675930143001,0.0797983566311361,0.07247507303092161,0.5743155803692847
2013-07-31,0.1218771897077661,0.07780460117495813,0.07196010826787702,0.5659348712202267
2013-08-31,0.11578553395877478,0.07474822817923499,0.06986253748536934,0.5460667986860681
2013-09-30,0.11165467640711063,0.07221688406443805,0.06863431729688675,0.5325939136698178
2013-10-31,0.10865331643221152,0.07308311404724166,0.066361379157601,0.5228049104596002
2013-11-30,0.10878369544729323,0.07300521246125014,0.06647924230076241,0.5232301445560944
2013-12-31,0.09760272512151925,0.09148341713428298,0.052749424440475264,0.4867631578141834
2014-01-31,0.08907273502030412,0.07105966249861007,0.05523160577337447,0.4589424028290286
2014-02-28,0.0830156709578525,0.058108575419505204,0.05731930699709695,0.4391871518602324
2014-03-31,0.08191089385127422,0.05664189210271697,0.05732863795574812,0.4355838964249248
2014-04-30,0.07721310346493206,0.04721733689304508,0.059483666323255455,0.42026194718943594
2014-05-31,0.07443373252311446,0.044488307475112565,0.05915962331558601,0.41119696621435237
2014-06-30,0.0774378705730704,0.0489045522974918,0.0585667805480515,0.4209950301789869
2014-07-31,0.07337111849576565,0.04156474424594192,0.06042331040451211,0.4077312266123277
2014-08-31,0.071955870977274,0.04026985240907488,0.06024365677859347,0.4031153649304137
2014-09-30,0.07235080800163174,0.04081862650215562,0.060148541623019296,0.40440346093742524
2014-10-31,0.0704375903333605,0.03877701293463476,0.06014367064875848,0.39816345838752065
2014-11-30,0.07803281314516994,0.039571524255223145,0.06592937060036506,0.4229354487881786
2014-12-31,0.0729330959578573,0.03415433258767264,0.06651447343750874,0.4063026062317029
2015-01-31,0.07766311707612464,0.03421034026437664,0.07076816548227084,0.4217296767258618
2015-02-28,0.07669905317584738,0.033021991040448784,0.07117987407497246,0.41858536058464785
2015-03-31,0.07652707613876394,0.03149911551472995,0.0727740413780737,0.41802445360175583
2015-04-30,0.06740158109670452,0.024474495699038368,0.07297818597964842,0.38826144582907224
2015-05-31,0.06742613844874838,0.02450167722075869,0.07296325257361977,0.3883415401862977
2015-06-30,0.06394758871402932,0.02199874703173965,0.0731232435534682,0.37699617181834283
2015-07-31,0.0675359325479387,0.024225089174525483,0.07350850224801192,0.3886996361156182
2015-08-31,,,,
2015-09-30,,,,
2015-10-31,,,,
2015-11-30,0.06672367421026018,0.021867670992040567,0.07653111412728013,0.3860504372385898
2015-12-31,0.0749907209821407,0.016460962825062708,0.09941141476259237,0.4130135966282517
2016-01-31,,,,
2016-02-29,,,,
2016-03-31,,,,
2016-04-30,,,,
2016-05-31,0.8372383898753406,0.013742761114859614,1.2163758205298643,2.89910155014911
2016-06-30,0.7158208404986695,0.009801885028000723,1.233874887679417,2.5030954760476756
2016-07-31,,,,
2016-08-31,,,,
2016-09-30,,,,
2016-10-31,,,,
2016-11-30,,,,
2016-12-31,,,,
2017-01-31,,,,
2017-02-28,,,,
2017-03-31,,,,
2017-04-30,,,,
2017-05-31,,,,
2017-06-30,,,,
2017-07-31,,,,
2017-08-31,,,,
2017-09-30,,,,
2017-10-31,,,,
2017-11-30,,,,
2017-12-31,,,,
2018-01-31,,,,
2018-02-28,,,,
2018-03-31,,,,
2018-04-30,,,,
2018-05-31,,,,
2018-06-30,,,,
2018-07-31,,,,
2018-08-31,,,,
2018-09-30,,,,
2018-10-31,,,,
2018-11-30,,,,
2018-12-31,,,,
2019-01-31,,,,
2019-02-28,,,,
2019-03-31,,,,
2019-04-30,,,,
2019-05-31,,,,
2019-06-30,,,,
2019-07-31,,,,
2019-08-31,,,,
2019-09-30,,,,
2019-10-31,,,,
2019-11-30,,,,
2019-12-31,,,,
2020-01-31,,,,
2020-02-29,,,,
2020-03-31,,,,
2020-04-30,,,,
2020-05-31,-0.5259888262872094,0.1442663654407954,0.21969684274486925,-1.547094743156111
2020-06-30,-0.5263849850310677,0.14372177302714928,0.2203485523335898,-1.5483868238288117
2020-07-31,-0.5222187250886633,0.14171694866705042,0.2204029248287915,-1.5347984731171753
2020-08-31,-0.4336484008472496,0.14392763519710783,0.1813766743607436,-1.24592436418649
2020-09-30,-0.431075679846172,0.14322834524640504,0.18081402797752572,-1.2375333766511183
2020-10-31,-0.4259020562205924,0.1410816527380082,0.18022330465083108,-1.2206594865803484
2020-11-30,-0.4273110285746778,0.14425115734173444,0.1784917511572753,-1.2252548816721063
2020-12-31,-0.4241986979542925,0.14310917993852212,0.17801593152223344,-1.2151039452003043
2021-01-31,-0.41618457623504773,0.1392657837915684,0.17744298824446444,-1.188965706570865
2021-02-28,-0.11098005464801404,0.02570004502457668,0.11718846750788221,-0.19353427995940037
2021-03-31,-0.10687201556420332,0.023986251554719784,0.1169152916128545,-0.18013581789039318
2021-04-30,-0.023325240556247642,0.0037334001688619223,0.06534647823673388,0.09235387198217508
2021-05-31,-0.016403826233340624,0.0018226226244724142,0.06583565861293263,0.11492822080831337
2021-06-30,-0.021598758445857815,0.0027543880209549565,0.0704819377391639,0.09798483230094099
2021-07-31,-0.019944307769806893,0.0023843975629366243,0.06996354239624301,0.1033808604729877
2021-08-31,-0.018791195499521053,0.00212661579310236,0.06980847560270381,0.10714176213422502
2021-09-30,-0.01794561314453561,0.0018835402124469658,0.07084708784215485,0.10989964804483926
2021-10-31,-0.018855312995813715,0.002064763807694159,0.07109028850245619,0.10693264147482757
2021-11-30,-0.021387969234369746,0.002579870436525633,0.07212240638352753,0.0986723260654986
2021-12-31,-0.022345181071801588,0.0027846816238255023,0.07251888463303548,0.09555035808170369
2022-01-31,-0.01634951548844807,0.0014806225682525431,0.07281510745731554,0.11510535652697053
2022-02-28,-0.01965823606663408,0.002098359445170228,0.07352059510471845,0.10431388978107835
2022-03-31,-0.024577392950942425,0.003052230777049969,0.0761770015266495,0.08826994872276639
2022-04-30,-0.02719112165610691,0.0036802551178762855,0.07672697395946405,0.0797452136361819
2022-05-31,-0.02895266493732104,0.004134472957065483,0.07706183701126658,0.07399990051847703
2022-06-30,-0.03506296416602775,0.005826794836459759,0.07854622782845357,0.05407102185499378
2022-07-31,-0.0343449575399253,0.005615422709546736,0.07838076325115542,0.056412816650238416
2022-08-31,-0.03884988743609769,0.0070476820403341245,0.07908449614888922,0.04171988625060559
2022-09-30,-0.04220865750514081,0.00825830463808741,0.07932606603780334,0.030765181962143576
2022-10-31,-0.04505844197322108,0.00932199311445081,0.07966151913488935,0.021470545683999868
2022-11-30,-0.053794513549954695,0.013282037560594984,0.07951749518260597,-0.0070223486787331195
2022-12-31,-0.0529987356096248,0.013105932853875069,0.07887281659722728,-0.004426900989133184
2023-01-31,-0.0606693316929202,0.017882606434344694,0.07710739736273284,-0.02944472301369208
2023-02-28,-0.0602722156822073,0.017657414502400548,0.07709844665834649,-0.028149520193567843
2023-03-31,-0.06367088794604554,0.020856598356714162,0.07481744272942777,-0.03923436638976865
2023-04-30,-0.08687538864758258,0.08293261904044524,0.049544475455726655,-0.11491636846833504
2023-05-31,-0.05382028386057943,0.0438169409502992,0.043117743116463075,-0.007106399127710776
2023-06-30,-0.05628373917498941,0.05254620058258219,0.04098753914807327,-0.015141014163115613
2023-07-31,-0.059134060281543714,0.06056522431743416,0.039941088143299185,-0.024437400699738463
2023-08-31,-0.046423364877294725,0.04291171680674022,0.03759977206596567,0.017018818866350992
2023-09-30,-0.04693974181964207,0.044229246599964855,0.03742168473526819,0.01533464382950278
2023-10-31,-0.04766049717953208,0.04897258914500313,0.03601961731940221,0.012983883977052241
2023-11-30,-0.04839004957750181,0.05961303969378173,0.03296091612764846,0.010604432386615273
2023-12-31,-0.0473875660624151,0.0545142771489775,0.03384521701155384,0.01387405496752671
2024-01-31,-0.05043820564895982,0.06911298313822589,0.0317459871902568,0.003924325193141108
2024-02-29,-0.0477726422828755,0.05164348728830115,0.03510894982875611,0.012618120194693614
2024-03-31,-0.0489684395007839,0.05891446486663654,0.033564515790531865,0.008718000614646232
2024-04-30,0.11489021419377594,0.018001029045889738,0.14552929672096368,0.5431466930915901
2024-05-31,0.25241396640831015,0.04324454136108424,0.20361452215836737,0.9916835107902019
2024-06-30,0.19392768273065175,0.031380932170267384,0.18477530869705644,0.8009291782668149
2024-07-31,0.19253669232589618,0.030837605699616355,0.18511090310610878,0.7963924317081179
2024-08-31,0.207854241261698,0.03539361082410464,0.18609386833606434,0.8463509628270877
2024-09-30,0.2014805014572651,0.02781626705060558,0.2042764566210724,0.8255628667877973
2024-10-31,0.20292648735821311,0.02820524035682226,0.2042780263435078,0.8302789823969505
2024-11-30,0.21822999610048022,0.026294628577310575,0.22774835509337535,0.8801917211082343
2024-12-31,0.28986955403527226,0.01820628571491445,0.36505860552813346,1.1138457541023323
2025-01-31,,,,
2025-02-28,,,,
2025-03-31,,,,
2025-04-30,,,,
2025-05-31,,,,
2025-06-30,,,,
2025-07-31,,,,
2025-08-31,,,,
2025-09-30,,,,
2025-10-31,,,,
2025-11-30,,,,
2025-12-31,,,,
2026-01-31,,,,
2026-02-28,-0.30558760837325677,0.003397738635721681,0.8975573979879968,-0.828251202981276
2026-03-31,-0.24047327817788341,0.0021888974760608804,0.8805191811339624,-0.6158793473410344
